model,dataset,accuracy,f1_score,precision,recall,round,Delta A-F1,Delta A-P,Delta A-R
ANN,roberta_review_vector_tokenized,0.890844444,0.890840784,0.890890376,0.890844444,2,3.66E-06,-4.59312E-05,0
ANN,roberta_review_vector_tokenized,0.888977778,0.888975229,0.889041523,0.888977778,1,2.54834E-06,-6.37451E-05,0
ANN,roberta_review_vector_tokenized,0.887666667,0.887559235,0.889173659,0.887666667,3,0.000107432,-0.001506992,0
ANN,roberta_review_vector_lemmatized,0.886666667,0.886657394,0.886839984,0.886666667,1,9.27275E-06,-0.000173317,0
ANN,roberta_review_vector_lemmatized,0.886088889,0.8860703,0.886356532,0.886088889,2,1.85887E-05,-0.000267643,0
ANN,roberta_review_vector_lemmatized,0.8846,0.884595631,0.884654491,0.8846,3,4.36913E-06,-5.44906E-05,0
SVM,self_trained_word2vec_review_vector_no_stopwords,0.8802,0.880191051,0.880319153,0.8802,3,8.94908E-06,-0.000119153,0
SVM,self_trained_word2vec_review_vector_no_stopwords,0.879311111,0.879282907,0.879684263,0.879311111,2,2.82039E-05,-0.000373152,0
ANN,self_trained_word2vec_review_vector_tokenized,0.878622222,0.8786111,0.87877265,0.878622222,2,1.11219E-05,-0.000150428,0
ANN,self_trained_word2vec_review_vector_tokenized,0.878466667,0.878454599,0.878577949,0.878466667,1,1.20682E-05,-0.000111282,0
SVM,self_trained_word2vec_review_vector_no_stopwords,0.878088889,0.878085982,0.878153031,0.878088889,1,2.90664E-06,-6.41421E-05,0
SVM,self_trained_word2vec_review_vector_tokenized,0.877777778,0.877761406,0.877994223,0.877777778,2,1.63718E-05,-0.000216445,0
SVM,self_trained_word2vec_review_vector_tokenized,0.877488889,0.877486732,0.877518211,0.877488889,3,2.15726E-06,-2.93217E-05,0
ANN,self_trained_word2vec_review_vector_no_stopwords,0.877444444,0.877444036,0.877464989,0.877444444,1,4.08579E-07,-2.05444E-05,0
SVM,self_trained_word2vec_review_vector_lemmatized_no_sw,0.876844444,0.876841817,0.876879598,0.876844444,3,2.62737E-06,-3.51534E-05,0
