model,dataset,accuracy,f1_score,precision,recall,round
ANN,roberta_review_vector_tokenized,0.898428571,0.898413143,0.898723301,0.898428571,1
ANN,roberta_review_vector_lemmatized,0.892942857,0.89293703,0.893061564,0.892942857,1
ANN,roberta_review_vector_tokenized,0.890114286,0.890093174,0.890374456,0.890114286,3
ANN,roberta_review_vector_lemmatized,0.8888,0.888794317,0.888904053,0.8888,3
SVM,self_trained_word2vec_review_vector_tokenized,0.887142857,0.887142989,0.887145675,0.887142857,1
SVM,self_trained_word2vec_review_vector_tokenized,0.886885714,0.886884824,0.88690444,0.886885714,2
SVM,self_trained_word2vec_review_vector_lemmatized,0.884028571,0.884026059,0.884071886,0.884028571,2
SVM,self_trained_word2vec_review_vector_lemmatized,0.883428571,0.883427557,0.883458137,0.883428571,1
ANN,self_trained_word2vec_review_vector_tokenized,0.881142857,0.881117353,0.881499323,0.881142857,2
ANN,self_trained_word2vec_review_vector_tokenized,0.879228571,0.8792183,0.879397239,0.879228571,1
ANN,self_trained_word2vec_review_vector_lemmatized,0.8774,0.877370191,0.877711834,0.8774,1
SVM,roberta_review_vector_tokenized,0.877142857,0.877129566,0.877350105,0.877142857,1
ANN,self_trained_word2vec_review_vector_lemmatized,0.876428571,0.876365192,0.877136364,0.876428571,3
SVM,roberta_review_vector_tokenized,0.8746,0.874587208,0.874773153,0.8746,2
ANN,self_trained_word2vec_review_vector_tokenized,0.873114286,0.872975562,0.874654449,0.873114286,3
SVM,roberta_review_vector_lemmatized,0.872485714,0.872483554,0.872531208,0.872485714,1
SVM,roberta_review_vector_lemmatized,0.8682,0.868195019,0.868268328,0.8682,2
SVM,roberta_review_vector_tokenized,0.8122,0.812089574,0.813005719,0.8122,3
SVM,roberta_review_vector_lemmatized,0.808057143,0.807903598,0.809126282,0.808057143,3
SVM,self_trained_word2vec_review_vector_tokenized,0.771485714,0.771187474,0.773006978,0.771485714,3
SVM,self_trained_word2vec_review_vector_lemmatized,0.763657143,0.763266572,0.765518131,0.763657143,3
ANN,self_trained_word2vec_review_vector_lemmatized,0.500542857,0.333936683,0.250543152,0.500542857,2
ANN,roberta_review_vector_lemmatized,0.500542857,0.333936683,0.250543152,0.500542857,2
ANN,roberta_review_vector_tokenized,0.499457143,0.332730333,0.249457438,0.499457143,2
